"Product ID","Product Type",Code,Name,Brand,Description,"Cost Price","Retail Price","Sale Price","Calculated Price","Fixed Shipping Price","Free Shipping",Warranty,Weight,Width,Height,Depth,"Allow Purchases","Product Visible","Product Availability","Product Inventoried","Stock Level","Low Stock Level","Date Added","Date Modified","Category Details",Images,"Page Title","META Keywords","META Description","Product Condition","Product URL","Redirect Old URL?","Product Tax Code","Product Custom Fields"
263,P,,"Fall Reversible Block Sign BOO/JOY","Reversible Block Signs","Reversible 2x4 Blocks",0.00,0.00,0.00,30.00,0.0000,N,,1.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,22/08/2020,24/02/2022,"Category Name: Fall, Category Path: Wood Projects/Block Signs /Fall","Product Image File: BOO__23792.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/f/997/BOO__23792.jpg|Product Image File: IMG_9656__14899.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/o/276/IMG_9656__14899.jpg|Product Image File: IMG_9662__21882.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/v/101/IMG_9662__21882.jpg|Product Image File: IMG_9661__98613.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/d/846/IMG_9661__98613.jpg","Reversible Block Sign BOO/JOY",,,New,/reversible-block-sign-boo-joy/,,,
264,P,,"Christmas Snowman Family",,"2x4 Blocks",0.00,0.00,0.00,45.00,0.0000,N,,1.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,22/08/2020,25/10/2021,"Category Name: Christmas, Category Path: Wood Projects/Block Signs /Christmas","Product Image File: Snowman_Fam__90918.JPG, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/d/732/Snowman_Fam__90918.JPG","Reversible Block Sign Happy Halloween",,,New,/snowman-family/,,,
265,P,,"Teacher Pencil Desk Sign",,"These pencils are perfect to sit on any desk or shelf. Size 17""W x 3.5""H",0.00,0.00,0.00,28.00,0.0000,N,,1.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,02/09/2020,22/07/2021,"Category Name: Teacher Designs, Category Path: Wood Projects/Teacher Designs","Product Image File: IMG_9366__19820.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/n/058/IMG_9366__19820.jpg|Product Image File: IMG_9382__45772.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/q/373/IMG_9382__45772.jpg|Product Image File: IMG_9405__75978.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/b/313/IMG_9405__75978.jpg","Pencil Desk Sign",,,New,/pencil-desk-sign/,,,
266,P,,"Teacher Pencil Outline Desk Sign",,"These pencils are perfect to sit on any desk or shelf. Size 17""W x 3.5""H",0.00,0.00,0.00,28.00,0.0000,N,,1.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,02/09/2020,22/07/2021,"Category Name: Teacher Designs, Category Path: Wood Projects/Teacher Designs","Product Image File: IMG_9365__12998.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/d/299/IMG_9365__12998.jpg|Product Image File: IMG_9371__03847.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/a/271/IMG_9371__03847.jpg","Pencil Outline Desk Sign",,,New,/pencil-outline-desk-sign/,,,
267,P,,"Teacher Crayon Desk Sign",,"These crayons are perfect to sit on any desk or shelf. You can make it whatever color you would like. You can add glitter like this one, or add flowers - make it your own.  Size 17""W x 3.5""H",0.00,0.00,0.00,28.00,0.0000,N,,1.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,02/09/2020,22/07/2021,"Category Name: Teacher Designs, Category Path: Wood Projects/Teacher Designs","Product Image File: IMG_9367__49682.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/e/209/IMG_9367__49682.jpg|Product Image File: IMG_9401__25317.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/q/099/IMG_9401__25317.jpg","Pencil Desk Sign",,,New,/crayon-desk-sign/,,,
268,P,,"Teacher Hanging Partial Pencil Outline",,"These signs are made out of Pallet boards.  Personalize! Add Flowers! Add Glitter! Make it your own! Size 16""W x 5""H",0.00,0.00,0.00,28.00,0.0000,N,,1.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,02/09/2020,22/07/2021,"Category Name: Teacher Designs, Category Path: Wood Projects/Teacher Designs","Product Image File: IMG_9364__67402.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/q/447/IMG_9364__67402.jpg","Pencil Desk Sign",,,New,/hanging-partial-pencil-outline/,,,
269,P,,"Teacher Hanging Full Pencil Outline",,"These signs are made out of Pallet boards.  Personalize! Add Flowers! Add Glitter! Make it your own! Size 16""W x 5""H",0.00,0.00,0.00,28.00,0.0000,N,,1.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,02/09/2020,22/07/2021,"Category Name: Teacher Designs, Category Path: Wood Projects/Teacher Designs","Product Image File: IMG_9407__75309.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/q/903/IMG_9407__75309.jpg","Pencil Desk Sign",,,New,/hanging-pencil-outline/,,,
270,P,,"Teacher Hanging Pencil",,"These signs are made out of Pallet boards.  Personalize! Add Flowers! Add Glitter! Make it your own! Size 16""W x 5""H",0.00,0.00,0.00,28.00,0.0000,N,,1.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,02/09/2020,22/07/2021,"Category Name: Teacher Designs, Category Path: Wood Projects/Teacher Designs","Product Image File: IMG_9372__69990.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/t/785/IMG_9372__69990.jpg|Product Image File: IMG_9363__50850.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/w/282/IMG_9363__50850.jpg","Pencil Desk Sign",,,New,/hanging-pencil/,,,
271,P,,"Teacher 12"" Round Pencil Hanging Sign","Round Signs","This 12"" Round Sign is a cute little sign for the wall or the door.  Different Sizes Available. You can personalize this sign. ",0.00,0.00,0.00,20.00,0.0000,N,,1.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,02/09/2020,17/08/2021,"Category Name: Teacher Designs, Category Path: Wood Projects/Teacher Designs","Product Image File: IMG_9368__94751.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/d/182/IMG_9368__94751.jpg","Pencil Desk Sign",,,New,/12-round-pencil-hanging-sign/,,,
272,P,,"Teacher 12"" Round Crayon Hanging Sign","Round Signs","This 12"" Round Sign is a cute little sign for the wall or the door.  Different Sizes available. You can personalize this sign. ",0.00,0.00,0.00,20.00,0.0000,N,,1.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,02/09/2020,17/08/2021,"Category Name: Teacher Designs, Category Path: Wood Projects/Teacher Designs","Product Image File: IMG_9380__48214.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/p/572/IMG_9380__48214.jpg|Product Image File: IMG_9377__26719.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/c/314/IMG_9377__26719.jpg","Pencil Desk Sign",,,New,/12-round-crayon-hanging-sign/,,,
273,P,Teacher-Plank,"Teacher Framed Planked Sign","Planked Signs","Planked Sign - is a Sign that uses multiple pieces of wood.  We have 11x24, 11x36 and 16.5 x 24. You can also frame these sizes. Prices are listed with the options.",0.00,0.00,0.00,33.00,0.0000,N,,1.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,02/09/2020,17/08/2021,"Category Name: Teacher Designs, Category Path: Wood Projects/Teacher Designs","Product Image File: Teacher_Pencil_OutlineWelcome_Sign__39968.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/d/506/Teacher_Pencil_OutlineWelcome_Sign__39968.jpg|Product Image File: Crayon_Teacher_11x24_Framed_Sign__75722.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/i/539/Crayon_Teacher_11x24_Framed_Sign__75722.jpg","Teacher Framed Planked Sign",,,New,/teacher-planked-sign/,,,
274,P,,"Christmas Canvas Pillows","Canvas Pillow","18x18 canvas pillow case without an insert",0.00,0.00,0.00,25.00,0.0000,N,,1.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,07/09/2020,24/02/2022,"Category Name: Christmas, Category Path: Canvas Projects/Canvas Pillows/Christmas","Product Image File: Mooey_Christmas_Pillow__55709.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/w/760/Mooey_Christmas_Pillow__55709.jpg",square,,,New,/canvas-pillow-christmas/,,,
275,P,,"Christmas Panel Signs",,,0.00,0.00,0.00,30.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,07/09/2020,24/02/2022,"Category Name: Christmas, Category Path: Wood Projects/Panel Signs/Christmas","Product Image File: Reindeer_Aviation_Panel__91195.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/r/936/Reindeer_Aviation_Panel__91195.jpg",square,,,New,/panel-sign-christmas/,,,
276,P,,"Christmas Metal & Wood Signs","Metal & Wood Signs","This comes ready to stain and paint.",0.00,0.00,0.00,25.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,07/09/2020,24/02/2022,"Category Name: Christmas, Category Path: Wood Projects/Metal & Wood Signs/Christmas","Product Image File: kitchen_open_daily__45209.1595963446.1280.1280__13158.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/x/497/kitchen_open_daily__45209.1595963446.1280.1280__13158.jpg|Product Image File: Winter_Love_16x16__67778.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/r/886/Winter_Love_16x16__67778.jpg",square,,,New,/christmas-metal-wood-sign/,,,
277,P,,"Christmas Pallet Signs","Pallet Signs","Pallet Board Used. Single board, double or triple board.",0.00,0.00,0.00,25.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,07/09/2020,24/02/2022,"Category Name: Christmas, Category Path: Wood Projects/Pallet Signs/Christmas","Product Image File: Christmas_Trees_4__45982.1596217064.1280.1280__46934.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/f/575/Christmas_Trees_4__45982.1596217064.1280.1280__46934.jpg|Product Image File: Be_Merry_Double_pallet__65522.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/k/240/Be_Merry_Double_pallet__65522.jpg|Product Image File: Farm_Fresh_Trees_Pallet_Sign__88492.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/a/325/Farm_Fresh_Trees_Pallet_Sign__88492.jpg|Product Image File: Welcome_Moose_Double_Pallet__46096.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/c/274/Welcome_Moose_Double_Pallet__46096.jpg|Product Image File: Dear_Santa_One__66934.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/n/473/Dear_Santa_One__66934.jpg","long board",,,New,/christmas-pallet-sign/,,,
278,P,,"Christmas Prefinished White Wash Sign","Prefinished White Wash Signs","No staining needed.  Prestained and ready to paint. ",0.00,0.00,0.00,35.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,07/09/2020,24/02/2022,"Category Name: Christmas, Category Path: Wood Projects/Prefinished White Wash Signs/Christmas","Product Image File: be_merry_truck_whitewash__81604.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/k/827/be_merry_truck_whitewash__81604.jpg|Product Image File: Welcome_moose_whitewash__32614.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/a/537/Welcome_moose_whitewash__32614.jpg|Product Image File: Christmas_Tree_Farm_White_wash_Large__81884.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/k/222/Christmas_Tree_Farm_White_wash_Large__81884.jpg|Product Image File: Reindeer_Head_Christmas_Large_White_Wash__70032.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/t/177/Reindeer_Head_Christmas_Large_White_Wash__70032.jpg","long board",,,New,/christmas-prefinished-white-wash-sign/,,,
