"Item Type","Product ID","Product SKU","Product Name","Category String",Weight,Description,Price,"Retail Price","Sale Price","Cost Price","Calculated Price","Sort Order","Product Not Visible","Product Visible","Allow Purchases","Product Availability","Minimum Purchase Quantity","Maximum Purchase Quantity","Brand + Name",Brand,"Product UPC/EAN","Product Tax Class","Search Keywords","Page Title","Meta Keywords","Meta Description","Product URL","Redirect Old URL?","Option Set","Option Set Align","Stop Processing Rules","Product Custom Fields","Product Images","Category Details","Product Type","Product Files","Shipping Groups","Event Date Required","Event Date Name","Event Date Is Limited","Event Date Start Date","Event Date End Date","GPS Category","GPS Enabled","GPS Custom Item","Date Added","Date Modified"
"  SKU",240,180-NE,"[S]Lumber Type=New lumber",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Product,181,,"Beautiful Metal Laser","Wood Projects/Metal Laser Signs",0.0000,"<p>5 1/2 x 21 metal laser sign</p>",20.00,0.00,0.00,0.00,20.00,0,0,1,1,,0,0,"Metal Word Signs  Beautiful Metal Laser","Metal Word Signs",,"Default Tax Class",,"Thankful & Blessed Metal Laser",,,/beautiful-metal-laser/,,,Right,0,,"Product Image ID: 428, Product Image File: Metal_Beautiful__89900.jpg, Product Image Path: i/659/Metal_Beautiful__89900.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/i/659/Metal_Beautiful__89900.jpg, Product Image Description: , Product Image Is Thumbnail: 1, Product Image Index: 0","Category ID: 559, Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs",P,,,0,,0,,,,0,0,06/29/2020,07/22/2021

"  SKU",241,180-PA-1,"[S]Lumber Type=Pallet",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",242,180-NE-1,"[S]Lumber Type=New lumber",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Product,182,,"Don't Call It a Dream, Call It a Plan Metal Laser","Wood Projects/Metal Laser Signs",0.0000,"<p><font style=""background-color: #ffffff;"">18 x 18 Planked Sign</font></p>",30.00,0.00,0.00,0.00,30.00,0,0,1,1,,0,0,"Metal Word Signs  Don't Call It a Dream, Call It a Plan Metal Laser","Metal Word Signs",,"Default Tax Class",,"It's a Good Day to Have a Good Day",,,/dont-call-it-a-dream-call-it-a-plan-metal-laser/,,,Right,0,,"Product Image ID: 429, Product Image File: IMG_7741__69490.1593397422.1280.1280__32331.jpg, Product Image Path: n/443/IMG_7741__69490.1593397422.1280.1280__32331.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/n/443/IMG_7741__69490.1593397422.1280.1280__32331.jpg, Product Image Description: , Product Image Is Thumbnail: 1, Product Image Index: 1","Category ID: 559, Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs",P,,,0,,0,,,,0,0,06/29/2020,07/22/2021

Product,183,,"No Place Like Home Metal Laser","Wood Projects/Metal Laser Signs",0.0000,"<p>12x12 metal laser sign</p>",25.00,0.00,0.00,0.00,25.00,0,0,1,1,,0,0,"Metal Word Signs  No Place Like Home Metal Laser","Metal Word Signs",,"Default Tax Class",,"No Place Like Home Metal Laser",,,/no-place-like-home-metal-laser/,,,Right,0,,"Product Image ID: 431, Product Image File: Metal_No_place__00461.jpg, Product Image Path: r/372/Metal_No_place__00461.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/r/372/Metal_No_place__00461.jpg, Product Image Description: , Product Image Is Thumbnail: 1, Product Image Index: 0","Category ID: 559, Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs",P,,,0,,0,,,,0,0,07/14/2020,07/22/2021

Product,186,,"Christmas One Piece Wood Signs","Wood Projects/One Piece Signs/Christmas",0.0000,"<p>One Piece - Means one piece of Wood, This is not multiple pieces of wood pieced together.</p>",30.00,0.00,0.00,0.00,30.00,0,0,1,1,,0,0," Christmas One Piece Wood Signs",,,"Default Tax Class",,"12 x 49 Porch Sign - with Frame",,,/11x18-pallet-sign-double-board/,,,Right,0,,"Product Image ID: 447, Product Image File: elf_welcome_hat__98847.jpg, Product Image Path: n/169/elf_welcome_hat__98847.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/n/169/elf_welcome_hat__98847.jpg, Product Image Description: , Product Image Is Thumbnail: 1, Product Image Index: 0","Category ID: 844, Category Name: Christmas, Category Path: Wood Projects/One Piece Signs/Christmas",P,,,0,,0,,,,0,0,07/19/2020,02/24/2022

"  SKU",357,171-CH-1,"[RB]Design=Christmas Begins with Christ",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",358,171-BE-,"[RB]Design=Believe in Magic",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",359,171-BE-1-1,"[RB]Design=Be Merry",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",360,171-BI-1,"[RB]Design=Bird on Birch Trees",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",361,171-6T-1,"[RB]Design=6 Trees",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",362,171-4T-1,"[RB]Design=4 Trees",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",363,171-12-1,"[RB]Design=12 Trees",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",364,171-DE-,"[RB]Design=Dear Santa",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",365,171-DE-1-,"[RB]Design=Deer hooves",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",366,171-DE-1-1-1,"[RB]Design=Deer Tree Scape",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",367,171-EL-1,"[RB]Design=Elf Welcome",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"  SKU",368,171-FA-1,"[RB]Design=Farm Fresh Christmas Trees",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

