handleId,fieldType,name,description,productImageUrl,price,surcharge,visible,inventory,weight,collection,sku,ribbon,discountMode,discountValue,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,additionalInfoTitle7,additionalInfoDescription7,additionalInfoTitle8,additionalInfoDescription8,customTextField1,customTextCharLimit1,customTextMandatory1,brand
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/326_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-SN-1,,,,Design,DROP_DOWN,Snowflake Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/312_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-4T-1,,,,Design,DROP_DOWN,4 Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/319_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-HO-1,,,,Design,DROP_DOWN,Home with Wreath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/330_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-WE-,,,,Design,DROP_DOWN,Welcome Moose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/318_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-FA-1,,,,Design,DROP_DOWN,Farm Fresh Christmas Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/311_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-6T-1,,,,Design,DROP_DOWN,6 Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/322_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-OR-1,,,,Design,DROP_DOWN,Ornament Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/324_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-OC-1,,,,Design,DROP_DOWN,O Come let us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/332_source_1595216341.jpg,0,0.0,TRUE,InStock,,,186-WE-1,,,,Design,DROP_DOWN,Welcome Rear Facing Truck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/325_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-SA-1,,,,Design,DROP_DOWN,Santa Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
